City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ulladulla,-35.35,150.4667,21.54,88,100,3.43,AU,1701122810
84,hermanus,-34.4187,19.2345,17.85,88,23,1.26,ZA,1701122679
85,margate,51.3813,1.3862,7.61,86,100,4.92,GB,1701122736
86,yangjiang,21.85,111.9667,18.49,74,19,3.15,CN,1701122810
87,isafjordur,66.0755,-23.124,1.68,87,100,3.47,IS,1701122671
88,margaret river,-33.95,115.0667,17.71,85,94,2.65,AU,1701122720
89,uturoa,-16.7333,-151.4333,26.22,80,97,8.27,PF,1701122811
90,palikir - national government center,6.9248,158.1611,29.41,79,100,2.57,FM,1701122811
91,kalmunai,7.4167,81.8167,26.25,82,100,2.65,LK,1701122692
92,belyy yar,53.6039,91.3903,-6.06,79,40,3.0,RU,1701122811
93,sierre,46.2919,7.5356,6.7,100,75,0.0,CH,1701122812
94,mokshan,53.4365,44.6132,0.35,85,100,5.32,RU,1701122812
95,bela,25.9333,81.9833,16.75,64,75,1.33,IN,1701122812
96,choibalsan,48.0667,114.5,-21.84,88,94,4.28,MN,1701122812
97,aasiaat,68.7098,-52.8699,-6.08,88,100,8.33,GL,1701122677
98,tolanaro,-25.0319,46.9987,25.04,88,40,7.2,MG,1701122684
99,tura,25.5198,90.2201,18.56,67,100,1.2,IN,1701122727
100,stauceni,47.0875,28.8703,-8.56,93,0,2.06,MD,1701122813
101,brookings,44.3114,-96.7984,-5.46,66,20,8.23,US,1701122813
102,arraial do cabo,-22.9661,-42.0278,24.98,78,75,7.2,BR,1701122673
103,hisar,29.1667,75.7167,15.77,66,50,3.14,IN,1701122814
104,richards bay,-28.783,32.0377,22.82,94,65,0.63,ZA,1701122814
105,korsakov,46.6328,142.7813,-6.09,95,100,5.19,RU,1701122814
106,sitka,57.0531,-135.33,7.94,76,75,2.57,US,1701122719
107,mount pleasant,32.7941,-79.8626,14.49,69,0,3.09,US,1701122815
108,st. john's,47.5649,-52.7093,2.1,80,34,3.58,CA,1701122815
109,east london,-33.0153,27.9116,19.84,88,1,0.66,ZA,1701122592
110,gressier,18.55,-72.5167,29.22,74,29,1.82,HT,1701122815
111,kristiansund,63.1115,7.732,-5.64,58,0,7.72,NO,1701122816
112,beeville,28.4008,-97.7483,12.21,37,100,2.57,US,1701122816
113,bestobe,52.4994,73.0975,-0.11,92,100,6.67,KZ,1701122816
114,dakhla,23.6848,-15.958,18.82,76,36,6.2,EH,1701122816
115,college,64.8569,-147.8028,-3.08,88,75,1.54,US,1701122734
116,susuman,62.7833,148.1667,-19.36,98,100,2.15,RU,1701122817
117,nagqu,31.5,92.0,-6.43,52,100,2.38,CN,1701122817
118,solleftea,63.1667,17.2667,-10.08,89,98,4.87,SE,1701122678
119,morondava,-20.2833,44.2833,25.56,68,4,3.44,MG,1701122817
120,okhotsk,59.3833,143.3,-12.97,82,100,5.31,RU,1701122817
121,bechar,31.6167,-2.2167,13.16,21,0,2.06,DZ,1701122818
122,afaahiti,-17.75,-149.2833,28.93,83,83,8.52,PF,1701122694
123,ust-nera,64.5667,143.2,-26.77,100,100,2.49,RU,1701122674
124,gogapur,23.55,75.5167,18.81,86,71,2.01,IN,1701122819
125,plettenberg bay,-34.0527,23.3716,16.66,82,6,1.1,ZA,1701122819
126,gurupi,-11.7292,-49.0686,28.48,49,95,1.67,BR,1701122557
127,murzuq,25.9155,13.9184,14.38,31,0,2.9,LY,1701122819
128,daru,-9.0763,143.2092,27.82,78,100,2.64,PG,1701122819
129,sarangani,5.4033,125.4636,28.16,76,67,6.42,PH,1701122820
130,iskateley,67.6803,53.1512,-23.58,100,79,1.06,RU,1701122820
131,hirara,24.8,125.2833,22.6,66,96,10.11,JP,1701122820
132,san andres,12.5847,-81.7006,30.01,74,40,7.72,CO,1701122820
133,valparaiso,-33.0393,-71.6273,18.13,74,100,3.09,CL,1701122661
134,ulysses,37.5814,-101.3552,8.53,36,0,0.0,US,1701122821
135,tudela,42.0617,-1.6045,12.5,72,89,3.66,ES,1701122821
136,tadmur,34.5608,38.2805,12.12,62,31,8.59,SY,1701122821
137,mil'kovo,55.6078,37.7956,-0.78,74,99,7.28,RU,1701122821
138,fuglafjordur,62.244,-6.814,2.26,63,91,4.99,FO,1701122822
139,aksu,41.1231,80.2644,1.97,46,82,0.7,CN,1701122822
140,bilibino,68.0546,166.4372,-15.54,96,84,2.03,RU,1701122674
141,el abiodh sidi cheikh,32.893,0.5484,10.51,23,1,2.47,DZ,1701122823
142,papatowai,-46.5619,169.4708,17.52,62,90,3.83,NZ,1701122665
143,iqaluit,63.7506,-68.5145,-3.15,86,100,7.72,CA,1701122521
144,rushville,39.6092,-85.4464,0.71,66,35,3.13,US,1701122823
145,vetlanda,57.4289,15.0776,-7.2,80,8,3.51,SE,1701122824
146,touros,-5.1989,-35.4608,26.03,79,2,5.22,BR,1701122824
147,doka,13.5167,35.7667,26.54,31,7,4.02,SD,1701122825
148,chilaw,7.5758,79.7953,25.01,86,100,4.44,LK,1701122825
149,port elizabeth,-33.918,25.5701,18.51,93,40,1.54,ZA,1701122605
150,urengoy,65.9667,78.3667,-11.43,96,100,3.5,RU,1701122826
151,pielavesi,63.2333,26.75,-9.1,82,100,6.78,FI,1701122826
152,kajaani,64.2273,27.7285,-10.97,85,100,6.69,FI,1701122827
153,pindushi,62.9152,34.58,-6.04,90,100,7.64,RU,1701122827
154,vila franca do campo,37.7167,-25.4333,18.23,99,95,1.98,PT,1701122669
155,dinguiraye,11.3,-10.7167,25.48,36,1,1.16,GN,1701122827
156,pembroke,45.8168,-77.1162,0.99,73,39,3.24,CA,1701122597
157,marquette,46.5333,-87.6335,-8.51,68,100,3.58,US,1701122710
158,grand falls-windsor,48.9332,-55.6649,2.5,81,94,1.79,CA,1701122828
159,korinthos,37.9407,22.9573,10.5,61,100,1.7,GR,1701122829
160,norcasia,5.5778,-74.8852,27.45,72,5,0.93,CO,1701122829
161,patacamaya,-17.2333,-67.9167,13.12,61,94,6.25,BO,1701122829
162,kayangel,8.0823,134.7173,28.65,77,55,6.55,PW,1701122830
163,anadyr,64.75,177.4833,-1.72,86,0,5.0,RU,1701122696
164,galveston,29.3669,-94.9669,14.46,52,0,3.09,US,1701122831
165,puerto ayora,-0.7393,-90.3518,29.98,90,96,3.13,EC,1701122668
166,tirupparangunram,9.8667,78.0667,23.47,92,99,2.68,IN,1701122832
167,cabo san lucas,22.8909,-109.9124,28.61,69,40,2.06,MX,1701122591
168,purranque,-40.9167,-73.1667,14.6,56,100,1.93,CL,1701122833
169,constantia,44.1833,28.65,0.39,80,58,4.86,RO,1701122552
170,tiksi,71.6872,128.8694,-23.79,100,82,2.8,RU,1701122683
171,vilyuchinsk,52.9306,158.4028,-5.04,84,44,3.77,RU,1701122723
172,mariental,-24.6333,17.9667,30.14,25,73,1.88,NA,1701122835
173,hithadhoo,-0.6,73.0833,27.48,79,100,3.0,MV,1701122688
174,remire-montjoly,4.9167,-52.2667,28.02,78,20,2.06,GF,1701122835
175,mombetsu,44.3525,143.3525,1.34,89,100,6.38,JP,1701122655
176,ksar el boukhari,35.8889,2.7491,10.99,60,17,1.05,DZ,1701122836
177,taltal,-25.4,-70.4833,19.52,68,22,3.71,CL,1701122836
